,Date,Volume (BTC)
770,2017-08-09,14286.8441382
771,2017-08-10,9031.12128021
772,2017-08-11,11927.373334200001
773,2017-08-12,12351.0746614
774,2017-08-13,15889.8297885
775,2017-08-14,14212.304207199999
776,2017-08-15,25515.7180144
777,2017-08-16,12923.637280500001
778,2017-08-17,14573.1859291
779,2017-08-18,17516.9933608
780,2017-08-19,15036.184051100001
781,2017-08-20,6237.97289632
782,2017-08-21,9782.05659401
783,2017-08-22,23522.7581664
784,2017-08-23,14979.4034815
785,2017-08-24,10782.6943674
786,2017-08-25,9699.61003374
787,2017-08-26,6559.66860375
788,2017-08-27,3979.12445283
789,2017-08-28,8641.0024459
790,2017-08-29,11879.6428307
791,2017-08-30,8720.03503995
792,2017-08-31,8911.41245939
793,2017-09-01,15367.529697400001
794,2017-09-02,16977.7936223
795,2017-09-03,11224.9145563
796,2017-09-04,25069.12523
797,2017-09-05,20884.2196935
798,2017-09-06,16634.104205300002
799,2017-09-07,9254.85142692
800,2017-09-08,23693.301622599996
801,2017-09-09,9974.38823453
802,2017-09-10,14724.2041439
803,2017-09-11,11191.595043899999
804,2017-09-12,13294.437697399999
805,2017-09-13,29636.380963099997
806,2017-09-14,41319.397125699994
807,2017-09-15,60278.946541799996
808,2017-09-16,23158.2289107
809,2017-09-17,11770.217650499999
810,2017-09-18,17207.5989244
811,2017-09-19,15278.930440399998
812,2017-09-20,11660.271813299998
813,2017-09-21,17904.2971721
814,2017-09-22,15007.7384495
815,2017-09-23,10123.2321355
816,2017-09-24,6508.72499023
817,2017-09-25,14979.7822629
818,2017-09-26,10014.6236712
819,2017-09-27,15075.838716600001
820,2017-09-28,9625.92938226
821,2017-09-29,12191.9306513
822,2017-09-30,7496.78249925
823,2017-10-01,7211.3351358
824,2017-10-02,8259.8186315
825,2017-10-03,12468.0572564
826,2017-10-04,8518.99274917
827,2017-10-05,8419.96284162
828,2017-10-06,8377.30164966
829,2017-10-07,4646.40562117
830,2017-10-08,10083.866849299999
831,2017-10-09,12923.6666168
832,2017-10-10,11666.024962399999
833,2017-10-11,9866.89562175
834,2017-10-12,19916.2280199
835,2017-10-13,27827.380285400002
