,Date,Daily Closing Price
719,2017-06-19,2598.0
720,2017-06-20,2740.0
721,2017-06-21,2657.04
722,2017-06-22,2713.48
723,2017-06-23,2685.05
724,2017-06-24,2557.66
725,2017-06-25,2502.03
726,2017-06-26,2421.22
727,2017-06-27,2565.0
728,2017-06-28,2559.9
729,2017-06-29,2541.59
730,2017-06-30,2465.49
731,2017-07-01,2412.41
732,2017-07-02,2504.37
733,2017-07-03,2550.47
734,2017-07-04,2596.12
735,2017-07-05,2602.9
736,2017-07-06,2600.39
737,2017-07-07,2501.46
738,2017-07-08,2550.07
739,2017-07-09,2502.28
740,2017-07-10,2323.45
741,2017-07-11,2305.98
742,2017-07-12,2388.0
743,2017-07-13,2339.99
744,2017-07-14,2213.37
745,2017-07-15,1970.51
746,2017-07-16,1917.63
747,2017-07-17,2226.0
748,2017-07-18,2303.71
749,2017-07-19,2265.21
750,2017-07-20,2875.03
751,2017-07-21,2670.0
752,2017-07-22,2832.71
753,2017-07-23,2749.02
754,2017-07-24,2759.98
755,2017-07-25,2564.82
756,2017-07-26,2524.99
757,2017-07-27,2666.33
758,2017-07-28,2777.01
759,2017-07-29,2680.56
760,2017-07-30,2742.37
761,2017-07-31,2855.81
762,2017-08-01,2731.0
763,2017-08-02,2703.51
764,2017-08-03,2793.37
765,2017-08-04,2855.0
766,2017-08-05,3263.62
767,2017-08-06,3222.75
768,2017-08-07,3387.55
769,2017-08-08,3412.41
770,2017-08-09,3342.99
771,2017-08-10,3413.03
772,2017-08-11,3645.06
773,2017-08-12,3855.1
774,2017-08-13,4053.87
775,2017-08-14,4306.23
776,2017-08-15,4155.67
777,2017-08-16,4378.84
778,2017-08-17,4276.5
779,2017-08-18,4100.0
780,2017-08-19,4099.55
781,2017-08-20,4058.68
782,2017-08-21,3987.52
783,2017-08-22,4085.0
784,2017-08-23,4108.12
785,2017-08-24,4300.34
786,2017-08-25,4355.98
787,2017-08-26,4333.38
788,2017-08-27,4337.68
789,2017-08-28,4379.99
790,2017-08-29,4578.82
791,2017-08-30,4573.2
792,2017-08-31,4734.26
793,2017-09-01,4921.7
794,2017-09-02,4599.9
795,2017-09-03,4606.26
796,2017-09-04,4277.0
797,2017-09-05,4396.52
798,2017-09-06,4605.8
799,2017-09-07,4615.0
800,2017-09-08,4312.0
801,2017-09-09,4308.72
802,2017-09-10,4226.22
803,2017-09-11,4207.31
804,2017-09-12,4172.56
805,2017-09-13,3865.34
806,2017-09-14,3227.79
807,2017-09-15,3700.01
808,2017-09-16,3678.93
809,2017-09-17,3662.99
810,2017-09-18,4101.6
811,2017-09-19,3888.8
812,2017-09-20,3874.46
813,2017-09-21,3617.05
814,2017-09-22,3612.18
815,2017-09-23,3779.17
816,2017-09-24,3664.22
817,2017-09-25,3918.0
818,2017-09-26,3888.03
819,2017-09-27,4199.29
820,2017-09-28,4184.84
821,2017-09-29,4164.82
822,2017-09-30,4326.09
823,2017-10-01,4377.22
824,2017-10-02,4391.48
825,2017-10-03,4315.83
826,2017-10-04,4219.53
827,2017-10-05,4301.09
828,2017-10-06,4362.95
829,2017-10-07,4423.3
830,2017-10-08,4597.98
831,2017-10-09,4764.7
832,2017-10-10,4749.29
833,2017-10-11,4822.01
834,2017-10-12,5445.0
835,2017-10-13,5653.6
836,2017-10-14,5801.29
837,2017-10-15,5679.7
838,2017-10-16,5745.72
839,2017-10-17,5597.31
840,2017-10-18,5582.05
841,2017-10-19,5698.69
842,2017-10-20,5977.29
843,2017-10-21,6013.46
844,2017-10-22,5969.0
845,2017-10-23,5871.17
846,2017-10-24,5523.4
847,2017-10-25,5735.88
848,2017-10-26,5890.0
849,2017-10-27,5771.89
850,2017-10-28,5730.69
851,2017-10-29,6137.37
852,2017-10-30,6119.99
853,2017-10-31,6434.21
854,2017-11-01,6741.59
855,2017-11-02,7030.0
856,2017-11-03,7146.82
857,2017-11-04,7388.83
858,2017-11-05,7372.72
859,2017-11-06,6967.68
860,2017-11-07,7130.28
861,2017-11-08,7450.32
862,2017-11-09,7148.0
863,2017-11-10,6588.18
864,2017-11-11,6355.13
865,2017-11-12,5870.37
866,2017-11-13,6525.17
867,2017-11-14,6609.0
868,2017-11-15,7294.0
869,2017-11-16,7846.96
870,2017-11-17,7674.99
871,2017-11-18,7771.03
872,2017-11-19,8016.58
873,2017-11-20,8226.17
874,2017-11-21,8095.23
875,2017-11-22,8214.69
